id,bouwjaar
"0363100012167920","1852"
"0363100012169158","1775"
"0363100012172019","1990"
"0363100012175983","1660"
"0363100012176078","1670"
"0363100012177698","1970"
"0363100012177791","1929"
"0363100012180045","1905"
"0363100012182655","1955"
"0363100012571333","1672"
"0363100012168352","1688"
"0363100012171199","1905"
"0363100012175519","1900"
"0363100012175891","1763"
"0363100012177263","1706"
"0363100012178574","1956"
"0363100012178686","1685"
"0363100012179786","1005"
"0363100012180154","1740"
"0363100012180456","1909"
"0363100012182512","1985"
"0363100012182646","1862"
"0363100012182805","1939"
"0363100012249547","2019"
"0363100012254438","2022"
"0363100012168257","1934"
"0363100012178681","1690"
"0363100012179336","1688"
"0363100012179874","1726"
"0363100012181105","1924"
"0363100012182354","1984"
"0363100012183059","1988"
"0363100012185844","1996"
"0363100012165049","1700"
"0363100012167905","1672"
"0363100012168383","1770"
"0363100012170429","1889"
"0363100012171556","1988"
"0363100012175506","1715"
"0363100012176302","1732"
"0363100012177097","1650"
"0363100012177774","1744"
"0363100012177869","1770"
"0363100012179536","1658"
"0363100012181897","1005"
"0363100012182757","1672"
"0363100012253866","1905"
"0363100012254455","2022"
"0363100012165047","1670"
"0363100012168351","1729"
"0363100012171377","1905"
"0363100012175219","1824"
"0363100012175956","1780"
"0363100012178657","1641"
"0363100012179130","1822"
"0363100012179132","1842"
"0363100012181206","1896"
"0363100012181861","1902"
"0363100012182059","1005"
"0363100012182943","1740"
"0363100012167923","1005"
"0363100012178099","1985"
"0363100012178308","1822"
"0363100012178659","1763"
"0363100012178832","1905"
"0363100012178959","1724"
"0363100012179339","1005"
"0363100012179544","1905"
"0363100012181849","1992"
"0363100012182268","1685"
"0363100012254458","2022"
"0363100012165084","1741"
"0363100012165111","1925"
"0363100012169214","1932"
"0363100012170312","1938"
"0363100012171130","1736"
"0363100012171691","1830"
"0363100012178094","1005"
"0363100012178736","1732"
"0363100012180301","1675"
"0363100012180413","1674"
"0363100012181286","1981"
"0363100012181355","1005"
"0363100012182928","1896"
"0363100012165559","1905"
"0363100012168195","1972"
"0363100012168322","1928"
"0363100012168327","1990"
"0363100012168382","1696"
"0363100012175154","1720"
"0363100012176235","1705"
"0363100012176251","1983"
"0363100012179288","1933"
"0363100012179393","1005"
"0363100012180030","1625"
"0363100012182501","1905"
"0363100012171205","1726"
"0363100012171559","1611"
"0363100012175655","1800"
"0363100012176770","1773"
"0363100012178653","1701"
"0363100012179210","1837"
"0363100012179547","1735"
"0363100012182068","1938"
"0363100012182229","1700"
"0363100012168056","1905"
"0363100012169748","1771"
"0363100012171549","1973"
"0363100012171739","1746"
"0363100012177625","1660"
"0363100012180187","1695"
"0363100012180336","1615"
"0363100012253808","1910"
"0363100012167620","1765"
"0363100012168482","1966"
"0363100012170562","1998"
"0363100012172016","1745"
"0363100012175300","1740"
"0363100012175649","1745"
"0363100012175756","1905"
"0363100012176921","1759"
"0363100012179387","1752"
"0363100012179528","1749"
"0363100012180452","1923"
"0363100012181094","1901"
"0363100012181525","1864"
"0363100012182505","1005"
"0363100012182569","1857"
"0363100012185926","1732"
"0363100012254440","2022"
"0363100012254454","2022"
"0363100012164961","1882"
"0363100012167486","1685"
"0363100012167553","1735"
"0363100012169213","1932"
"0363100012171417","1620"
"0363100012171583","1785"
"0363100012175302","1703"
"0363100012178116","1905"
"0363100012178767","1672"
"0363100012179134","1917"
"0363100012181856","1995"
"0363100012182661","1912"
"0363100012253838","1886"
"0363100012168185","1736"
"0363100012168319","1746"
"0363100012172018","1889"
"0363100012175024","1762"
"0363100012175222","1900"
"0363100012175625","1830"
"0363100012175765","1988"
"0363100012176084","1910"
"0363100012176238","1905"
"0363100012178370","1905"
"0363100012179526","1887"
"0363100012182629","1700"
"0363100012182691","1927"
"0363100012185994","1961"
"0363100012253757","1882"
"0363100012253961","1915"
"0363100012571495","1741"
"0363100012164947","1932"
"0363100012168533","1839"
"0363100012172051","1725"
