filename,1802,1853,1876,1909,1943
Hout_gracht_10_12.gltf,https://adamlink.nl/geo/address/A229962,https://adamlink.nl/geo/address/A103803,https://adamlink.nl/geo/address/A103802,https://adamlink.nl/geo/address/A103801,https://adamlink.nl/geo/address/A103800
Hout_gracht_14.gltf,,https://adamlink.nl/geo/address/A103793,https://adamlink.nl/geo/address/A103787,https://adamlink.nl/geo/address/A103786,https://adamlink.nl/geo/address/A103790
Hout_gracht_16_18_20_22.gltf,,https://adamlink.nl/geo/address/A103784,https://adamlink.nl/geo/address/A103783,https://adamlink.nl/geo/address/A103761,
Hout_gracht_2.gltf,,https://adamlink.nl/geo/address/A103823,https://adamlink.nl/geo/address/A103822,https://adamlink.nl/geo/address/A103821,https://adamlink.nl/geo/address/A103820
Hout_gracht_24.gltf,,https://adamlink.nl/geo/address/A103763,https://adamlink.nl/geo/address/A103762,https://adamlink.nl/geo/address/A103761,https://adamlink.nl/geo/address/A103760
Hout_gracht_26_28.gltf,https://adamlink.nl/geo/address/A229963,https://adamlink.nl/geo/address/A103758,https://adamlink.nl/geo/address/A103757,https://adamlink.nl/geo/address/A103756,https://adamlink.nl/geo/address/A103750
Hout_gracht_30.gltf,,https://adamlink.nl/geo/address/A103748,https://adamlink.nl/geo/address/A103742,https://adamlink.nl/geo/address/A103741,https://adamlink.nl/geo/address/A103740
Hout_gracht_32.gltf,,https://adamlink.nl/geo/address/A103738,https://adamlink.nl/geo/address/A103737,https://adamlink.nl/geo/address/A103736,https://adamlink.nl/geo/address/A103735
Hout_gracht_34.gltf,,https://adamlink.nl/geo/address/A103733,https://adamlink.nl/geo/address/A103732,https://adamlink.nl/geo/address/A103731,https://adamlink.nl/geo/address/A103730
Hout_gracht_36.gltf,,https://adamlink.nl/geo/address/A103728,https://adamlink.nl/geo/address/A103707,https://adamlink.nl/geo/address/A103706,
Hout_gracht_38_46.gltf,,https://adamlink.nl/geo/address/A103704,https://adamlink.nl/geo/address/A103703,https://adamlink.nl/geo/address/A103702,https://adamlink.nl/geo/address/A103701
Hout_gracht_4.gltf,,https://adamlink.nl/geo/address/A103818,https://adamlink.nl/geo/address/A103817,https://adamlink.nl/geo/address/A103816,https://adamlink.nl/geo/address/A103815
Hout_gracht_40.gltf,,https://adamlink.nl/geo/address/A103699,https://adamlink.nl/geo/address/A103698,,
Hout_gracht_42.gltf,,https://adamlink.nl/geo/address/A103696,https://adamlink.nl/geo/address/A103695,,
Hout_gracht_48.gltf,,https://adamlink.nl/geo/address/A103682,https://adamlink.nl/geo/address/A103681,https://adamlink.nl/geo/address/A103680,
Hout_gracht_50.gltf,,https://adamlink.nl/geo/address/A103677,https://adamlink.nl/geo/address/A103676,https://adamlink.nl/geo/address/A103675,
Hout_gracht_54.gltf,,https://adamlink.nl/geo/address/A103670,https://adamlink.nl/geo/address/A103669,https://adamlink.nl/geo/address/A103668,https://adamlink.nl/geo/address/A103667
Hout_gracht_56.gltf,,https://adamlink.nl/geo/address/A103665,https://adamlink.nl/geo/address/A103664,https://adamlink.nl/geo/address/A103663,https://adamlink.nl/geo/address/A103662
Hout_gracht_58.gltf,,https://adamlink.nl/geo/address/A103660,https://adamlink.nl/geo/address/A103659,https://adamlink.nl/geo/address/A103658,https://adamlink.nl/geo/address/A103657
Hout_gracht_6.gltf,,https://adamlink.nl/geo/address/A103813,https://adamlink.nl/geo/address/A103812,https://adamlink.nl/geo/address/A103811,https://adamlink.nl/geo/address/A103810
Hout_gracht_60.gltf,,https://adamlink.nl/geo/address/A103655,https://adamlink.nl/geo/address/A103654,https://adamlink.nl/geo/address/A103653,https://adamlink.nl/geo/address/A103652
Hout_gracht_62.gltf,,https://adamlink.nl/geo/address/A103650,https://adamlink.nl/geo/address/A103649,https://adamlink.nl/geo/address/A103648,https://adamlink.nl/geo/address/A103647
Hout_gracht_64.gltf,,https://adamlink.nl/geo/address/A103645,https://adamlink.nl/geo/address/A103644,https://adamlink.nl/geo/address/A103643,https://adamlink.nl/geo/address/A103642
Hout_gracht_8.gltf,,https://adamlink.nl/geo/address/A103808,https://adamlink.nl/geo/address/A103807,https://adamlink.nl/geo/address/A103806,https://adamlink.nl/geo/address/A103805
Korte_Houtstraat_1.gltf,,https://adamlink.nl/geo/address/A104135,https://adamlink.nl/geo/address/A104134,https://adamlink.nl/geo/address/A104133,https://adamlink.nl/geo/address/A104132
Korte_Houtstraat_10.gltf,,https://adamlink.nl/geo/address/A104110,https://adamlink.nl/geo/address/A104109,https://adamlink.nl/geo/address/A104108,https://adamlink.nl/geo/address/A104107
Korte_Houtstraat_11.gltf,,https://adamlink.nl/geo/address/A104164,https://adamlink.nl/geo/address/A104159,https://adamlink.nl/geo/address/A104158,
Korte_Houtstraat_13.gltf,,https://adamlink.nl/geo/address/A104169,https://adamlink.nl/geo/address/A104168,https://adamlink.nl/geo/address/A104167,https://adamlink.nl/geo/address/A104166
Korte_Houtstraat_15.gltf,,https://adamlink.nl/geo/address/A104174,https://adamlink.nl/geo/address/A104173,https://adamlink.nl/geo/address/A104172,https://adamlink.nl/geo/address/A104171
Korte_Houtstraat_17.gltf,,https://adamlink.nl/geo/address/A104179,https://adamlink.nl/geo/address/A104178,https://adamlink.nl/geo/address/A104177,https://adamlink.nl/geo/address/A104176
Korte_Houtstraat_18.gltf,,https://adamlink.nl/geo/address/A104105,https://adamlink.nl/geo/address/A104104,https://adamlink.nl/geo/address/A104103,https://adamlink.nl/geo/address/A104102
